fpath,cell_type,sample_ID
../POISED/ProcessedData/HandGatedLabelledCells/P090_Treg_Naive_UnStim.csv,Treg_Naive,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_Teffector_CM_PeaStim.csv,Teffector_CM,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_B_cells_Naive_PeaStim.csv,B_cells_Naive,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_gdTCR_Mem_UnStim.csv,gdTCR_Mem,P085_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_Classical_mono_PeaStim.csv,Classical_mono,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_B_cells_Naive_PeaStim.csv,B_cells_Naive,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_CD8_Naive_UnStim.csv,CD8_Naive,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_gdTCR_Mem_PeaStim.csv,gdTCR_Mem,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_NKT_PeaStim.csv,NKT,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_CD8_PeaReactive_PeaStim.csv,CD8_PeaReactive,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_B_cells_Mem_UnStim.csv,B_cells_Mem,P085_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_B_cells_Mem_PeaStim.csv,B_cells_Mem,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_mDC2_PeaStim.csv,mDC2,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_Teffector_EM_PeaStim.csv,Teffector_EM,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_CD4_PeaReactive_UnStim.csv,CD4_PeaReactive,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_B_cells_Naive_UnStim.csv,B_cells_Naive,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_intermediate_mono_PeaStim.csv,intermediate_mono,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_Teffector_EM_UnStim.csv,Teffector_EM,P085_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_NK_Cells_PeaStim.csv,NK_Cells,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_Treg_Mem_PeaStim.csv,Treg_Mem,P090_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_mCD1_PeaStim.csv,mCD1,P085_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_NK_Cells_UnStim.csv,NK_Cells,P085_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_CD8_Effectory_memory_UnStim.csv,CD8_Effectory_memory,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_non_classical_mono_UnStim.csv,non_classical_mono,P085_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_gdTCR_Naive_UnStim.csv,gdTCR_Naive,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P090_CD8_PeaReactive_UnStim.csv,CD8_PeaReactive,P090_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P085_gdTCR_Naive_PeaStim.csv,gdTCR_Naive,P085_PeaStim
