fpath,cell_type,sample_ID
../POISED/ProcessedData/HandGatedLabelledCells/P075_CD8_Central_memory_PeaStim.csv,CD8_Central_memory,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_gdTCR_Mem_PeaStim.csv,gdTCR_Mem,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_non_classical_mono_UnStim.csv,non_classical_mono,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_mDC2_PeaStim.csv,mDC2,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_Teffector_EM_PeaStim.csv,Teffector_EM,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_naive_T_effectors_UnStim.csv,naive_T_effectors,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_B_cells_Mem_UnStim.csv,B_cells_Mem,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_Teffector_EM_PeaStim.csv,Teffector_EM,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_gdTCR_Mem_UnStim.csv,gdTCR_Mem,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD8_Central_memory_PeaStim.csv,CD8_Central_memory,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_Teffector_CM_PeaStim.csv,Teffector_CM,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_NKT_UnStim.csv,NKT,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_NK_Cells_UnStim.csv,NK_Cells,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_B_cells_Naive_PeaStim.csv,B_cells_Naive,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_intermediate_mono_PeaStim.csv,intermediate_mono,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD8_PeaReactive_PeaStim.csv,CD8_PeaReactive,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_NKT_PeaStim.csv,NKT,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD8_Effectory_memory_UnStim.csv,CD8_Effectory_memory,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_Teffector_CM_PeaStim.csv,Teffector_CM,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_gdTCR_Mem_PeaStim.csv,gdTCR_Mem,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD4_PeaReactive_PeaStim.csv,CD4_PeaReactive,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_mCD1_PeaStim.csv,mCD1,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_NK_Cells_PeaStim.csv,NK_Cells,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_Treg_Mem_PeaStim.csv,Treg_Mem,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_NK_Cells_UnStim.csv,NK_Cells,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD8_Central_memory_UnStim.csv,CD8_Central_memory,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_pDCs_UnStim.csv,pDCs,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_non_classical_mono_PeaStim.csv,non_classical_mono,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_mCD1_UnStim.csv,mCD1,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_naive_T_effectors_PeaStim.csv,naive_T_effectors,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_non_classical_mono_PeaStim.csv,non_classical_mono,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_intermediate_mono_UnStim.csv,intermediate_mono,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_CD8_Naive_UnStim.csv,CD8_Naive,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_mDC2_UnStim.csv,mDC2,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_NKT_UnStim.csv,NKT,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_Classical_mono_UnStim.csv,Classical_mono,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_B_cells_Mem_UnStim.csv,B_cells_Mem,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_pDCs_PeaStim.csv,pDCs,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_B_cells_Naive_UnStim.csv,B_cells_Naive,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_pDCs_PeaStim.csv,pDCs,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_CD8_Naive_PeaStim.csv,CD8_Naive,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_B_cells_Mem_PeaStim.csv,B_cells_Mem,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_NKT_PeaStim.csv,NKT,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_CD4_PeaReactive_PeaStim.csv,CD4_PeaReactive,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_gdTCR_Naive_PeaStim.csv,gdTCR_Naive,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD8_Naive_UnStim.csv,CD8_Naive,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_Classical_mono_PeaStim.csv,Classical_mono,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_Classical_mono_PeaStim.csv,Classical_mono,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_CD8_Central_memory_UnStim.csv,CD8_Central_memory,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_Treg_Mem_UnStim.csv,Treg_Mem,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_Teffector_EM_UnStim.csv,Teffector_EM,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_naive_T_effectors_PeaStim.csv,naive_T_effectors,P075_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_CD8_Effectory_memory_PeaStim.csv,CD8_Effectory_memory,P079_PeaStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_B_cells_Naive_UnStim.csv,B_cells_Naive,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P079_Treg_Naive_UnStim.csv,Treg_Naive,P079_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_intermediate_mono_UnStim.csv,intermediate_mono,P075_UnStim
../POISED/ProcessedData/HandGatedLabelledCells/P075_gdTCR_Naive_UnStim.csv,gdTCR_Naive,P075_UnStim
